-foptimize-sibling-calls,-freorder-blocks-algorithm=stc,-ftree-pre,-fschedule-insns2,-fexpensive-optimizations,-fvect-cost-model,-ffinite-loops,-floop-unroll-and-jam,-flra-remat,-fvect-cost-model=dynamic,time
0,0,0,0,0,0,0,0,0,0,0.05381944444444445
0,0,0,0,0,0,0,0,0,1,0.05427777777777777
0,0,0,0,0,0,0,0,1,0,0.05406944444444445
0,0,0,0,0,0,0,0,1,1,0.05401388888888889
0,0,0,0,0,0,0,1,0,0,0.053962500000000004
0,0,0,0,0,0,0,1,0,1,0.053984375
0,0,0,0,0,0,0,1,1,0,0.05390277777777777
0,0,0,0,0,0,0,1,1,1,0.0539375
0,0,0,0,0,0,1,0,0,0,0.05411111111111112
0,0,0,0,0,0,1,0,0,1,0.054015625
0,0,0,0,0,0,1,0,1,0,0.0540875
0,0,0,0,0,0,1,0,1,1,0.054093749999999996
0,0,0,0,0,0,1,1,0,0,0.053968749999999996
0,0,0,0,0,0,1,1,0,1,0.05415625
0,0,0,0,0,0,1,1,1,0,0.054015625
0,0,0,0,0,0,1,1,1,1,0.05408333333333333
0,0,0,0,0,1,0,0,0,0,0.05395833333333334
0,0,0,0,0,1,0,0,0,1,0.05386111111111111
0,0,0,0,0,1,0,0,1,0,0.05415277777777778
0,0,0,0,0,1,0,0,1,1,0.05388888888888889
0,0,0,0,0,1,0,1,0,0,0.05415277777777778
0,0,0,0,0,1,0,1,0,1,0.05387499999999999
0,0,0,0,0,1,0,1,1,0,0.05395833333333333
0,0,0,0,0,1,0,1,1,1,0.053962500000000004
0,0,0,0,0,1,1,0,0,0,0.05399999999999999
0,0,0,0,0,1,1,0,0,1,0.054015625
0,0,0,0,0,1,1,0,1,0,0.054037499999999995
0,0,0,0,0,1,1,0,1,1,0.05401388888888889
0,0,0,0,0,1,1,1,0,0,0.05401388888888889
0,0,0,0,0,1,1,1,0,1,0.054
0,0,0,0,0,1,1,1,1,0,0.05405555555555555
0,0,0,0,0,1,1,1,1,1,0.05408333333333333
0,0,0,0,1,0,0,0,0,0,0.05375
0,0,0,0,1,0,0,0,0,1,0.05347222222222222
0,0,0,0,1,0,0,0,1,0,0.053343749999999995
0,0,0,0,1,0,0,0,1,1,0.05361111111111111
0,0,0,0,1,0,0,1,0,0,0.053437500000000006
0,0,0,0,1,0,0,1,0,1,0.05345833333333334
0,0,0,0,1,0,0,1,1,0,0.05351388888888889
0,0,0,0,1,0,0,1,1,1,0.05363888888888888
0,0,0,0,1,0,1,0,0,0,0.0534625
0,0,0,0,1,0,1,0,0,1,0.0535
0,0,0,0,1,0,1,0,1,0,0.05356944444444444
0,0,0,0,1,0,1,0,1,1,0.05347222222222223
0,0,0,0,1,0,1,1,0,0,0.053625
0,0,0,0,1,0,1,1,0,1,0.053625
0,0,0,0,1,0,1,1,1,0,0.05354166666666666
0,0,0,0,1,0,1,1,1,1,0.05343055555555556
0,0,0,0,1,1,0,0,0,0,0.053593749999999996
0,0,0,0,1,1,0,0,0,1,0.053375
0,0,0,0,1,1,0,0,1,0,0.05366666666666667
